"Time (s)","Recording (a.u.)"
8.770833333E-3,-8.282645047E-2
8.791666667E-3,-8.699958026E-2
8.812500000E-3,-9.006350487E-2
8.833333333E-3,-9.192061424E-2
8.854166667E-3,-9.295388311E-2
8.875000000E-3,-9.369606525E-2
8.895833333E-3,-9.413670003E-2
8.916666667E-3,-9.386159480E-2
8.937500000E-3,-9.250979125E-2
8.958333333E-3,-9.024564922E-2
8.979166667E-3,-8.848891407E-2
9.000000000E-3,-8.880337328E-2
9.020833333E-3,-9.152501076E-2
9.041666667E-3,-9.561316669E-2
9.062500000E-3,-9.898240864E-2
9.083333333E-3,-1.008755863E-1
9.104166667E-3,-1.026599109E-1
9.125000000E-3,-1.051922143E-1
9.145833333E-3,-1.080688387E-1
9.166666667E-3,-1.105347723E-1
9.187500000E-3,-1.121638864E-1
9.208333333E-3,-1.132988483E-1
9.229166667E-3,-1.146750674E-1
9.250000000E-3,-1.170492098E-1
9.270833333E-3,-1.201640964E-1
9.291666667E-3,-1.226313263E-1
9.312500000E-3,-1.238860190E-1
9.333333333E-3,-1.247128397E-1
9.354166667E-3,-1.258027852E-1
9.375000000E-3,-1.266263425E-1
9.395833333E-3,-1.263524741E-1
9.416666667E-3,-1.249067783E-1
9.437500000E-3,-1.229705513E-1
9.458333333E-3,-1.224695370E-1
9.479166667E-3,-1.241244450E-1
9.500000000E-3,-1.254045069E-1
9.520833333E-3,-1.247305274E-1
9.541666667E-3,-1.235283911E-1
9.562500000E-3,-1.229732707E-1
9.583333333E-3,-1.230694652E-1
9.604166667E-3,-1.240789071E-1
9.625000000E-3,-1.257386208E-1
9.645833333E-3,-1.263996661E-1
9.666666667E-3,-1.252676398E-1
9.687500000E-3,-1.239163578E-1
9.708333333E-3,-1.242380887E-1
9.729166667E-3,-1.258840263E-1
9.750000000E-3,-1.272520721E-1
9.770833333E-3,-1.280909479E-1
9.791666667E-3,-1.282805502E-1
9.812500000E-3,-1.271058619E-1
9.833333333E-3,-1.257068068E-1
9.854166667E-3,-1.255328655E-1
9.875000000E-3,-1.253614128E-1
9.895833333E-3,-1.237718537E-1
9.916666667E-3,-1.217160597E-1
9.937500000E-3,-1.204838157E-1
9.958333333E-3,-1.203905046E-1
9.979166667E-3,-1.217046678E-1
1.000000000E-2,-1.244007647E-1
1.002083333E-2,-1.276832074E-1
1.004166667E-2,-1.301993877E-1
1.006250000E-2,-1.309874505E-1
1.008333333E-2,-1.305495799E-1
1.010416667E-2,-1.300003827E-1
1.012500000E-2,-1.297311783E-1
1.014583333E-2,-1.298325360E-1
1.016666667E-2,-1.308332533E-1
1.018750000E-2,-1.322770417E-1
1.020833333E-2,-1.322917640E-1
1.022916667E-2,-1.301826239E-1
1.025000000E-2,-1.269258112E-1
1.027083333E-2,-1.242431402E-1
1.029166667E-2,-1.237638593E-1
1.031250000E-2,-1.247748658E-1
1.033333333E-2,-1.251576394E-1
1.035416667E-2,-1.244562790E-1
1.037500000E-2,-1.235372499E-1
1.039583333E-2,-1.230906844E-1
1.041666667E-2,-1.232656986E-1
1.043750000E-2,-1.236476600E-1
1.045833333E-2,-1.242330447E-1
1.047916667E-2,-1.261532307E-1
1.050000000E-2,-1.298373342E-1
1.052083333E-2,-1.339563578E-1
1.054166667E-2,-1.373268813E-1
1.056250000E-2,-1.398025900E-1
1.058333333E-2,-1.414758563E-1
1.060416667E-2,-1.426749527E-1
1.062500000E-2,-1.439079791E-1
1.064583333E-2,-1.443429887E-1
1.066666667E-2,-1.422797740E-1
1.068750000E-2,-1.381884813E-1
1.070833333E-2,-1.340223998E-1
1.072916667E-2,-1.308602691E-1
1.075000000E-2,-1.292843670E-1
1.077083333E-2,-1.289883554E-1
1.079166667E-2,-1.290603578E-1
1.081250000E-2,-1.295604110E-1
1.083333333E-2,-1.306419075E-1
1.085416667E-2,-1.318266392E-1
1.087500000E-2,-1.325413585E-1
1.089583333E-2,-1.323592365E-1
1.091666667E-2,-1.316539496E-1
1.093750000E-2,-1.312467158E-1
1.095833333E-2,-1.312203705E-1
1.097916667E-2,-1.312983632E-1
1.100000000E-2,-1.315997094E-1
1.102083333E-2,-1.317978650E-1
1.104166667E-2,-1.305092722E-1
1.106250000E-2,-1.265617907E-1
1.108333333E-2,-1.201964766E-1
1.110416667E-2,-1.128442138E-1
1.112500000E-2,-1.059549600E-1
1.114583333E-2,-1.002186835E-1
1.116666667E-2,-9.562984109E-2
1.118750000E-2,-9.149732441E-2
1.120833333E-2,-8.753253520E-2
1.122916667E-2,-8.469568193E-2
1.125000000E-2,-8.364205062E-2
1.127083333E-2,-8.412303030E-2
1.129166667E-2,-8.597366512E-2
1.131250000E-2,-8.870607615E-2
1.133333333E-2,-9.073492885E-2
1.135416667E-2,-9.045621008E-2
1.137500000E-2,-8.778029680E-2
1.139583333E-2,-8.390423656E-2
1.141666667E-2,-7.987005264E-2
1.143750000E-2,-7.563148439E-2
1.145833333E-2,-7.115881145E-2
1.147916667E-2,-6.760303676E-2
1.150000000E-2,-6.578579545E-2
1.152083333E-2,-6.513062865E-2
1.154166667E-2,-6.447709352E-2
1.156250000E-2,-6.279926002E-2
1.158333333E-2,-6.025715172E-2
1.160416667E-2,-5.843757093E-2
1.162500000E-2,-5.798616260E-2
1.164583333E-2,-5.725866556E-2
1.166666667E-2,-5.508834869E-2
1.168750000E-2,-5.228824914E-2
1.170833333E-2,-4.953765124E-2
1.172916667E-2,-4.675317183E-2
1.175000000E-2,-4.357153922E-2
1.177083333E-2,-3.983687609E-2
1.179166667E-2,-3.655041754E-2
1.181250000E-2,-3.442455828E-2
1.183333333E-2,-3.241667151E-2
1.185416667E-2,-2.925956622E-2
1.187500000E-2,-2.490414120E-2
1.189583333E-2,-2.004139125E-2
1.191666667E-2,-1.508838125E-2
1.193750000E-2,-1.022806205E-2
1.195833333E-2,-5.617582239E-3
1.197916667E-2,-1.255580573E-3
1.200000000E-2,2.674853895E-3
1.202083333E-2,6.206256337E-3
1.204166667E-2,9.714827873E-3
1.206250000E-2,1.294900011E-2
1.208333333E-2,1.554725133E-2
1.210416667E-2,1.787894592E-2
1.212500000E-2,2.034779638E-2
1.214583333E-2,2.297560312E-2
1.216666667E-2,2.550446056E-2
1.218750000E-2,2.767536044E-2
1.220833333E-2,3.028991818E-2
1.222916667E-2,3.453219309E-2
1.225000000E-2,3.961179405E-2
1.227083333E-2,4.413845018E-2
1.229166667E-2,4.867989570E-2
1.231250000E-2,5.365100503E-2
1.233333333E-2,5.756782368E-2
1.235416667E-2,5.947900191E-2
1.237500000E-2,6.059217453E-2
1.239583333E-2,6.258141249E-2
1.241666667E-2,6.536275893E-2
1.243750000E-2,6.746596098E-2
1.245833333E-2,6.842536479E-2
1.247916667E-2,6.902252138E-2
1.250000000E-2,6.935946643E-2
1.252083333E-2,6.916209310E-2
1.254166667E-2,6.876370311E-2
1.256250000E-2,6.824745983E-2
1.258333333E-2,6.770347059E-2
1.260416667E-2,6.770008802E-2
1.262500000E-2,6.825339794E-2
1.264583333E-2,6.863443553E-2
1.266666667E-2,6.847812235E-2
1.268750000E-2,6.842192262E-2
1.270833333E-2,6.875597686E-2
1.272916667E-2,6.880619377E-2
1.275000000E-2,6.835921109E-2
1.277083333E-2,6.745797396E-2
1.279166667E-2,6.602312624E-2
1.281250000E-2,6.463860720E-2
1.283333333E-2,6.400927156E-2
1.285416667E-2,6.408950686E-2
1.287500000E-2,6.400197744E-2
1.289583333E-2,6.280752271E-2
1.291666667E-2,6.058403477E-2
1.293750000E-2,5.813397467E-2
1.295833333E-2,5.599123985E-2
1.297916667E-2,5.398574099E-2
1.300000000E-2,5.131935328E-2
1.302083333E-2,4.769519717E-2
1.304166667E-2,4.437617958E-2
1.306250000E-2,4.252269492E-2
1.308333333E-2,4.174925759E-2
1.310416667E-2,4.159941897E-2
1.312500000E-2,4.188600183E-2
1.314583333E-2,4.231447354E-2
1.316666667E-2,4.328884929E-2
1.318750000E-2,4.520886391E-2
1.320833333E-2,4.748393968E-2
1.322916667E-2,4.912785441E-2
1.325000000E-2,4.971405119E-2
1.327083333E-2,4.961491749E-2
1.329166667E-2,4.962097853E-2
1.331250000E-2,5.018115416E-2
1.333333333E-2,5.024834722E-2
1.335416667E-2,4.876470938E-2
1.337500000E-2,4.657322168E-2
1.339583333E-2,4.456888884E-2
1.341666667E-2,4.315259308E-2
1.343750000E-2,4.247482121E-2
1.345833333E-2,4.155231267E-2
1.347916667E-2,4.003240913E-2
1.350000000E-2,3.849105909E-2
1.352083333E-2,3.692124039E-2
1.354166667E-2,3.540755436E-2
1.356250000E-2,3.420417011E-2
1.358333333E-2,3.337847814E-2
1.360416667E-2,3.287510946E-2
1.362500000E-2,3.238324821E-2
1.364583333E-2,3.179379553E-2
1.366666667E-2,3.106812388E-2
1.368750000E-2,2.995258197E-2
1.370833333E-2,2.819418535E-2
1.372916667E-2,2.575284615E-2
1.375000000E-2,2.303079516E-2
1.377083333E-2,2.012999915E-2
1.379166667E-2,1.672199368E-2
1.381250000E-2,1.294043567E-2
1.383333333E-2,8.754103445E-3
1.385416667E-2,3.908713348E-3
1.387500000E-2,-7.052760338E-4
1.389583333E-2,-3.662362229E-3
1.391666667E-2,-4.811770283E-3
1.393750000E-2,-5.220181774E-3
1.395833333E-2,-5.526396912E-3
1.397916667E-2,-5.279324017E-3
1.400000000E-2,-4.243654199E-3
1.402083333E-2,-3.416345920E-3
1.404166667E-2,-3.885622369E-3
1.406250000E-2,-5.294825882E-3
