"Time (s)","Recording (a.u.)"
1.266666667E-2,-5.213011056E-2
1.268750000E-2,-5.123223364E-2
1.270833333E-2,-5.204937607E-2
1.272916667E-2,-5.530272424E-2
1.275000000E-2,-5.661483482E-2
1.277083333E-2,-5.448966473E-2
1.279166667E-2,-5.157994479E-2
1.281250000E-2,-4.845852405E-2
1.283333333E-2,-4.500483349E-2
1.285416667E-2,-4.320095107E-2
1.287500000E-2,-4.326622188E-2
1.289583333E-2,-4.215417430E-2
1.291666667E-2,-3.869830444E-2
1.293750000E-2,-3.565989807E-2
1.295833333E-2,-3.491437063E-2
1.297916667E-2,-3.631606326E-2
1.300000000E-2,-4.006798193E-2
1.302083333E-2,-4.525072873E-2
1.304166667E-2,-4.991317540E-2
1.306250000E-2,-5.204359442E-2
1.308333333E-2,-5.239922553E-2
1.310416667E-2,-5.455774069E-2
1.312500000E-2,-5.578172579E-2
1.314583333E-2,-5.231068283E-2
1.316666667E-2,-4.872131720E-2
1.318750000E-2,-4.782309383E-2
1.320833333E-2,-4.723491520E-2
1.322916667E-2,-4.499592632E-2
1.325000000E-2,-4.080338776E-2
1.327083333E-2,-3.829695284E-2
1.329166667E-2,-4.081704468E-2
1.331250000E-2,-4.444512725E-2
1.333333333E-2,-4.361031950E-2
1.335416667E-2,-4.039063677E-2
1.337500000E-2,-4.012250155E-2
1.339583333E-2,-4.214313626E-2
1.341666667E-2,-4.239394516E-2
1.343750000E-2,-4.020009562E-2
1.345833333E-2,-3.919601440E-2
1.347916667E-2,-4.227825254E-2
1.350000000E-2,-4.660136253E-2
1.352083333E-2,-4.781556875E-2
1.354166667E-2,-4.545704648E-2
1.356250000E-2,-4.247669131E-2
1.358333333E-2,-4.279994220E-2
1.360416667E-2,-4.522969574E-2
1.362500000E-2,-4.497103021E-2
1.364583333E-2,-4.247695208E-2
1.366666667E-2,-3.956972063E-2
1.368750000E-2,-3.570039570E-2
1.370833333E-2,-3.354008496E-2
1.372916667E-2,-3.591825441E-2
1.375000000E-2,-3.964501619E-2
1.377083333E-2,-3.995521367E-2
1.379166667E-2,-3.806005418E-2
1.381250000E-2,-3.877036273E-2
1.383333333E-2,-4.288410395E-2
1.385416667E-2,-4.652763903E-2
1.387500000E-2,-4.662318528E-2
1.389583333E-2,-4.658259451E-2
1.391666667E-2,-5.102813989E-2
1.393750000E-2,-5.627322942E-2
1.395833333E-2,-5.721819028E-2
1.397916667E-2,-5.622172728E-2
1.400000000E-2,-5.753579736E-2
1.402083333E-2,-6.076694280E-2
1.404166667E-2,-6.308653951E-2
1.406250000E-2,-6.415313482E-2
1.408333333E-2,-6.612588465E-2
1.410416667E-2,-6.970737875E-2
1.412500000E-2,-7.299654186E-2
1.414583333E-2,-7.539588958E-2
1.416666667E-2,-7.759948820E-2
1.418750000E-2,-7.863930613E-2
1.420833333E-2,-7.873085886E-2
1.422916667E-2,-7.979483902E-2
1.425000000E-2,-8.201207966E-2
1.427083333E-2,-8.338335156E-2
1.429166667E-2,-8.311814070E-2
1.431250000E-2,-8.376869559E-2
1.433333333E-2,-8.644434810E-2
1.435416667E-2,-8.874468505E-2
1.437500000E-2,-8.852662891E-2
1.439583333E-2,-8.788524568E-2
1.441666667E-2,-9.059509635E-2
1.443750000E-2,-9.371863306E-2
1.445833333E-2,-9.444285184E-2
1.447916667E-2,-9.590313584E-2
1.450000000E-2,-9.666004777E-2
1.452083333E-2,-9.424804151E-2
1.454166667E-2,-9.380226582E-2
1.456250000E-2,-9.858195484E-2
1.458333333E-2,-1.017152518E-1
1.460416667E-2,-9.844709933E-2
1.462500000E-2,-9.545354545E-2
1.464583333E-2,-9.566898644E-2
1.466666667E-2,-9.453520179E-2
1.468750000E-2,-9.309634566E-2
1.470833333E-2,-9.413123131E-2
1.472916667E-2,-9.552853554E-2
1.475000000E-2,-9.587083012E-2
1.477083333E-2,-9.643290192E-2
1.479166667E-2,-9.599853307E-2
1.481250000E-2,-9.269475937E-2
1.483333333E-2,-8.969904482E-2
1.485416667E-2,-9.022030979E-2
1.487500000E-2,-9.228244424E-2
1.489583333E-2,-9.244619310E-2
1.491666667E-2,-9.124583006E-2
1.493750000E-2,-9.181448072E-2
1.495833333E-2,-9.372156113E-2
1.497916667E-2,-9.403613210E-2
1.500000000E-2,-9.203276038E-2
1.502083333E-2,-9.025584161E-2
1.504166667E-2,-9.050333500E-2
1.506250000E-2,-9.064526856E-2
1.508333333E-2,-8.979424834E-2
1.510416667E-2,-8.996461332E-2
1.512500000E-2,-9.196425974E-2
1.514583333E-2,-9.313122928E-2
1.516666667E-2,-9.008455276E-2
1.518750000E-2,-8.570809662E-2
1.520833333E-2,-8.488824964E-2
1.522916667E-2,-8.632670343E-2
1.525000000E-2,-8.698929846E-2
1.527083333E-2,-8.646579087E-2
1.529166667E-2,-8.504772186E-2
1.531250000E-2,-8.292032033E-2
1.533333333E-2,-8.042602241E-2
1.535416667E-2,-7.670994848E-2
1.537500000E-2,-7.146629691E-2
1.539583333E-2,-6.825123727E-2
1.541666667E-2,-6.915444881E-2
1.543750000E-2,-7.043547928E-2
1.545833333E-2,-6.914046407E-2
1.547916667E-2,-6.710829586E-2
1.550000000E-2,-6.607584655E-2
1.552083333E-2,-6.498147547E-2
1.554166667E-2,-6.312142313E-2
1.556250000E-2,-6.126374751E-2
1.558333333E-2,-5.954913422E-2
1.560416667E-2,-5.765273795E-2
1.562500000E-2,-5.567435175E-2
1.564583333E-2,-5.314704031E-2
1.566666667E-2,-5.023128539E-2
1.568750000E-2,-4.833702743E-2
1.570833333E-2,-4.640987515E-2
