"Frequency (Hz)","Absolute Amplitude (a.u.)"
1.422656250E4,2.457663027E-2
1.425000000E4,4.779607956E-2
1.427343750E4,4.409636126E-2
1.429687500E4,3.346516576E-2
1.432031250E4,2.296624186E-2
1.434375000E4,5.459982510E-2
1.436718750E4,4.903468627E-2
1.439062500E4,3.000418643E-2
1.441406250E4,1.501396584E-2
1.443750000E4,1.840038537E-2
1.446093750E4,2.400584596E-2
1.448437500E4,2.901657679E-2
1.450781250E4,1.015311139E-2
1.453125000E4,2.557078171E-2
1.455468750E4,2.801856491E-2
1.457812500E4,3.049377950E-2
1.460156250E4,4.499258184E-2
1.462500000E4,2.942088539E-2
1.464843750E4,3.228408676E-2
1.467187500E4,2.559591692E-2
1.469531250E4,2.137540139E-2
1.471875000E4,2.179092878E-2
1.474218750E4,2.337383892E-2
1.476562500E4,2.730090244E-2
1.478906250E4,2.860446120E-2
1.481250000E4,2.600698628E-2
1.483593750E4,2.440822973E-2
1.485937500E4,2.484957241E-2
1.488281250E4,2.516725240E-2
1.490625000E4,2.500783706E-2
1.492968750E4,2.502396885E-2
1.495312500E4,2.169621847E-2
1.497656250E4,2.336916760E-2
1.500000000E4,2.543938662E-2
1.502343750E4,2.646023410E-2
1.504687500E4,2.044451902E-2
1.507031250E4,2.756992364E-2
1.509375000E4,2.191732422E-2
1.511718750E4,2.028399387E-2
1.514062500E4,1.893188435E-2
1.516406250E4,3.465717431E-2
1.518750000E4,4.238791472E-2
1.521093750E4,3.417945134E-2
1.523437500E4,2.360785839E-2
1.525781250E4,2.902419250E-2
1.528125000E4,3.037279224E-2
1.530468750E4,3.445970698E-2
1.532812500E4,4.221497354E-2
1.535156250E4,2.573662254E-2
1.537500000E4,4.033830606E-2
1.539843750E4,3.803195375E-2
1.542187500E4,2.336086524E-2
1.544531250E4,9.830471615E-3
1.546875000E4,1.627813088E-2
1.549218750E4,2.166373642E-2
1.551562500E4,2.687674036E-2
1.553906250E4,4.882314861E-2
1.556250000E4,3.830437507E-2
1.558593750E4,3.198552478E-2
1.560937500E4,2.659436888E-2
1.563281250E4,2.439898077E-2
1.565625000E4,2.514974630E-2
1.567968750E4,2.306351377E-2
1.570312500E4,1.284601711E-2
1.572656250E4,2.588047109E-2
1.575000000E4,4.032616106E-2
1.577343750E4,4.210483757E-2
1.579687500E4,3.150368498E-2
1.582031250E4,2.660750114E-2
1.584375000E4,6.963228973E-3
1.586718750E4,1.650445384E-2
1.589062500E4,2.900610289E-2
1.591406250E4,3.693808444E-2
1.593750000E4,4.444640579E-2
1.596093750E4,4.463909651E-2
1.598437500E4,1.556302325E-2
1.600781250E4,1.764051454E-2
1.603125000E4,2.116514125E-2
1.605468750E4,3.605509043E-2
1.607812500E4,2.971454821E-2
1.610156250E4,1.290890601E-2
1.612500000E4,2.980491684E-2
1.614843750E4,3.769075045E-2
1.617187500E4,1.689177648E-2
1.619531250E4,2.406169396E-2
1.621875000E4,1.853854548E-2
1.624218750E4,3.107036730E-2
1.626562500E4,2.341349090E-2
1.628906250E4,2.405429955E-2
1.631250000E4,2.106743957E-2
1.633593750E4,2.891140123E-2
1.635937500E4,3.445490866E-2
1.638281250E4,3.240826927E-2
1.640625000E4,2.733270865E-2
1.642968750E4,3.366127226E-2
1.645312500E4,1.384776996E-2
1.647656250E4,5.088313599E-3
1.650000000E4,2.428339494E-2
1.652343750E4,3.679342451E-2
