BrightnessEV_mean,trial,experimenter,Peak-Frequency_mean,Sound pressure level (dB)_mean,Linear Acceleration x (m/s^2)_mean,Linear Acceleration y (m/s^2)_mean,Linear Acceleration z (m/s^2)_mean,Absolute acceleration (m/s^2)_mean,timestamp,Inclination (deg)_mean,Rotation (deg)_mean,Peak-Frequency_norm,Sound-pressure-level_norm,Linear-Acceleration-norm,heart_rate
3.925757656451228,2,Esmee,72.265625,-20.68637435111111,0.2793114832485148,0.0284636191009802,0.0768220102592851,0.3545018113465346,488.0,4.5339881535,-10.491839775,0.013131313131313131,0.5350219673321323,0.23193384392220906,68.53836062198953
4.157916657494704,2,Esmee,72.35054347826087,-21.027416894444443,0.2626537647811881,0.0003139433755029,0.0636107185886643,0.3631353834950495,489.0,4.8459306805,-13.1973538,0.013175230566534918,0.5143932896686694,0.21457191479881998,68.15279940574528
4.4553638489434775,2,Esmee,68.359375,-17.505730077,0.1950823502692,0.022950644494836,0.08004896115796,0.378281855338,490.0,4.510545587,-9.079826747,0.011111111111111112,0.7274099458273771,0.16612006170445015,70.28010206578635
4.563420348408448,2,Esmee,60.12228260869565,-20.080707720000003,0.1866931118204158,-0.0174194155436663,0.0272114827404059,0.4104213803233663,491.0,4.2166132815,-8.7697948855,0.0068511198945981535,0.5716569911698908,0.14724739471168072,68.1748854496241
4.739021846763012,2,Esmee,77.1484375,-23.52116214111111,0.13410714042262,-0.04309284938185,0.0606285921173913,0.2770692309547,492.0,4.088197463,-6.053435347500001,0.015656565656565657,0.36355384786331213,0.1171484531432017,65.61296511263667
4.576466878810853,2,Esmee,64.19836956521739,-21.781242312,0.1136361957981811,-0.0833522168874663,0.0312416848113762,0.2247331874763366,493.0,3.741690762,-9.8679236063,0.008959156785243741,0.4687965690915536,0.1096435687997989,66.68189051520191
4.7693521633884695,2,Esmee,61.141304347826086,-20.94399152888889,0.065131815474184,-0.0503311658815,0.04434918360384,0.1810778480358,494.0,3.435736328,-8.3433352985,0.007378129117259552,0.519439448890277,0.06726315544488845,66.91894121258763
4.741586353853691,2,Esmee,73.2421875,-19.95178076222222,0.0343637919028514,-0.0440927633942633,0.0316515746265292,0.1695813821514851,495.0,3.4986241395,-8.281151309,0.013636363636363636,0.5794554101827625,0.04287724055573167,67.56921011936628
4.734167601240513,2,Esmee,71.33152173913044,-20.618352884,0.01527623818171,-0.042405248982628,0.07145775829596,0.2481815515574,496.0,3.503775203,-12.489325835,0.01264822134387352,0.5391363892617723,0.05975006816898272,67.2006016433706
4.842814661796043,2,Esmee,73.2421875,-21.20985917222222,-0.1311810425778713,0.0077390460940495,0.013390714356297,0.2813611549384158,497.0,3.4512289425,-8.703656729,0.013636363636363636,0.5033578836349205,0.09942553397335714,67.10842614813318
4.698233625911443,2,Esmee,68.27445652173913,-21.204883976666665,-0.575933071479,-0.0097005643886199,-0.05797487422317,0.642310036974,498.0,0.86605706015,-93.780100175,0.011067193675889325,0.5036588188332836,0.4718376732983664,70.03995108590412
4.44411314958761,2,Esmee,84.9609375,-22.848861899,-0.545813474780198,-0.0971473573846435,0.1620492482979207,0.8626725091970296,499.0,0.886845994,-102.6488825,0.019696969696969695,0.4042193462261453,0.47072486324760926,69.01037045463401
4.523850267950789,2,Esmee,69.29347826086956,-20.23939971333333,-0.5431262267168318,0.0153612549756257,-0.0591756576136435,0.6457189282455446,500.0,1.06155050855,10.297758499999992,0.011594202898550723,0.5620581711920384,0.4448602543317179,70.53546414692921
