"Frequency (Hz)","Absolute Amplitude (a.u.)"
1.042968750E4,5.634467608E-2
1.045312500E4,3.851300456E-2
1.047656250E4,7.892516805E-3
1.050000000E4,2.670646611E-2
1.052343750E4,1.010645685E-1
1.054687500E4,3.570095096E-2
1.057031250E4,2.481602045E-2
1.059375000E4,3.885167778E-2
1.061718750E4,7.461402792E-2
1.064062500E4,3.151475829E-2
1.066406250E4,6.504361089E-2
1.068750000E4,8.253722932E-2
1.071093750E4,2.625742509E-2
1.073437500E4,8.129900931E-2
1.075781250E4,6.751366391E-2
1.078125000E4,3.084920071E-2
1.080468750E4,2.684607330E-2
1.082812500E4,6.202661099E-2
1.085156250E4,6.994456994E-2
1.087500000E4,2.512884893E-2
1.089843750E4,5.083489146E-2
1.092187500E4,2.439219649E-2
1.094531250E4,5.871341413E-2
1.096875000E4,1.145826334E-2
1.099218750E4,2.243779622E-2
1.101562500E4,3.330568363E-2
1.103906250E4,3.918599685E-2
1.106250000E4,6.526375978E-2
1.108593750E4,3.286494454E-2
1.110937500E4,5.506889214E-2
1.113281250E4,6.710639944E-2
1.115625000E4,4.073777772E-2
1.117968750E4,4.586388279E-2
1.120312500E4,3.699828622E-2
1.122656250E4,6.505564224E-2
1.125000000E4,3.030850588E-2
1.127343750E4,2.599839283E-2
1.129687500E4,3.316444304E-2
1.132031250E4,3.670733104E-2
1.134375000E4,1.151067646E-2
1.136718750E4,2.055380423E-2
1.139062500E4,2.608187409E-2
1.141406250E4,5.899652195E-2
1.143750000E4,2.549768459E-2
1.146093750E4,8.170447227E-2
1.148437500E4,6.370485462E-2
1.150781250E4,3.693038366E-2
1.153125000E4,4.805889705E-2
1.155468750E4,2.579374619E-2
1.157812500E4,2.271355105E-2
1.160156250E4,3.424402874E-2
1.162500000E4,5.447371902E-2
1.164843750E4,5.545398235E-2
1.167187500E4,3.861602958E-2
1.169531250E4,2.853554230E-2
1.171875000E4,1.785537777E-2
1.174218750E4,2.133192554E-2
1.176562500E4,4.786347886E-2
1.178906250E4,7.353455824E-2
1.181250000E4,5.972281530E-2
1.183593750E4,2.337018340E-2
1.185937500E4,2.801230327E-2
1.188281250E4,8.649346619E-2
1.190625000E4,2.622058618E-2
1.192968750E4,3.345993617E-2
1.195312500E4,3.338304656E-2
1.197656250E4,3.344144539E-2
1.200000000E4,1.314018771E-2
1.202343750E4,3.366531028E-2
1.204687500E4,3.448170712E-2
1.207031250E4,3.182129777E-2
1.209375000E4,4.093336980E-2
1.211718750E4,3.476131855E-2
1.214062500E4,1.097193880E-2
1.216406250E4,5.950249867E-2
1.218750000E4,1.022897460E-1
1.221093750E4,6.478043132E-2
1.223437500E4,1.033365932E-2
1.225781250E4,5.484336855E-2
1.228125000E4,1.064965072E-3
1.230468750E4,4.533747036E-2
1.232812500E4,2.080021706E-2
1.235156250E4,3.848218521E-2
1.237500000E4,4.204374268E-2
1.239843750E4,4.842909236E-2
1.242187500E4,4.115963287E-2
1.244531250E4,7.162152489E-2
1.246875000E4,1.882294228E-2
1.249218750E4,8.331504497E-2
1.251562500E4,1.485268029E-2
1.253906250E4,6.272003223E-2
1.256250000E4,5.982038113E-2
1.258593750E4,4.124710384E-2
1.260937500E4,4.357125564E-2
1.263281250E4,3.565221505E-2
1.265625000E4,1.742316182E-2
1.267968750E4,3.607178312E-2
1.270312500E4,4.238761394E-2
1.272656250E4,2.687086124E-2
1.275000000E4,5.031868428E-2
1.277343750E4,6.223644420E-2
1.279687500E4,7.464605226E-3
1.282031250E4,4.058357206E-2
1.284375000E4,3.631618835E-2
1.286718750E4,3.182468636E-2
1.289062500E4,4.661369614E-2
1.291406250E4,8.323658485E-2
1.293750000E4,2.950558489E-2
1.296093750E4,7.258564410E-2
1.298437500E4,2.370940889E-2
1.300781250E4,7.934561529E-2
1.303125000E4,7.322072252E-2
1.305468750E4,3.193255892E-2
1.307812500E4,2.989929392E-2
1.310156250E4,5.521173171E-2
1.312500000E4,2.909361628E-2
1.314843750E4,6.143460224E-2
1.317187500E4,4.794011775E-2
1.319531250E4,3.967803298E-2
1.321875000E4,4.193720977E-2
1.324218750E4,3.547564928E-2
1.326562500E4,6.199914291E-2
1.328906250E4,5.303207760E-2
1.331250000E4,1.000287958E-1
1.333593750E4,3.697493346E-2
1.335937500E4,1.872156980E-2
1.338281250E4,4.839917961E-2
1.340625000E4,3.665139646E-2
1.342968750E4,6.135813351E-2
1.345312500E4,9.445720238E-2
1.347656250E4,3.070118317E-2
1.350000000E4,4.526050708E-2
1.352343750E4,4.136140733E-2
1.354687500E4,1.940291068E-2
1.357031250E4,7.040531522E-2
1.359375000E4,6.702813418E-2
1.361718750E4,3.236013340E-2
1.364062500E4,3.797768838E-2
1.366406250E4,6.165073448E-2
1.368750000E4,4.613756756E-2
1.371093750E4,1.457802037E-2
1.373437500E4,3.512777300E-2
1.375781250E4,5.958756310E-2
1.378125000E4,5.809164342E-2
1.380468750E4,1.489922986E-2
1.382812500E4,6.559873309E-2
1.385156250E4,5.405135831E-2
1.387500000E4,2.673072102E-2
1.389843750E4,1.067665012E-2
1.392187500E4,3.724318043E-2
1.394531250E4,1.166231859E-2
1.396875000E4,3.577399772E-2
1.399218750E4,5.253460566E-2
1.401562500E4,2.089050086E-2
1.403906250E4,2.016385520E-3
1.406250000E4,2.348271791E-2
1.408593750E4,4.078630703E-2
1.410937500E4,1.520063103E-2
1.413281250E4,3.709527826E-2
1.415625000E4,2.663699686E-2
1.417968750E4,2.997478304E-2
1.420312500E4,2.087241495E-2
1.422656250E4,3.826615370E-2
1.425000000E4,1.957572566E-2
1.427343750E4,2.950694655E-2
1.429687500E4,2.758501466E-2
1.432031250E4,4.556684902E-2
1.434375000E4,4.441191274E-2
1.436718750E4,2.784719761E-2
1.439062500E4,3.290529739E-2
1.441406250E4,4.473917139E-2
1.443750000E4,3.099175080E-2
1.446093750E4,9.286279696E-3
1.448437500E4,5.378155344E-2
1.450781250E4,2.551247106E-2
1.453125000E4,3.325757577E-2
1.455468750E4,3.209879694E-2
1.457812500E4,4.332667187E-2
1.460156250E4,5.893752020E-2
1.462500000E4,1.452370635E-2
1.464843750E4,2.623247670E-2
1.467187500E4,3.050462164E-2
1.469531250E4,2.360042663E-2
1.471875000E4,2.849133299E-2
1.474218750E4,1.785897234E-2
1.476562500E4,2.797391685E-2
1.478906250E4,2.143872104E-2
1.481250000E4,2.384452215E-2
1.483593750E4,2.060769273E-2
1.485937500E4,2.239348191E-2
1.488281250E4,2.202405824E-2
1.490625000E4,2.265715438E-2
1.492968750E4,2.716105929E-2
1.495312500E4,1.777359158E-2
1.497656250E4,1.485894335E-2
1.500000000E4,5.981057567E-2
1.502343750E4,3.265896831E-2
1.504687500E4,2.934731189E-2
1.507031250E4,2.048971572E-2
1.509375000E4,4.768426434E-2
1.511718750E4,1.170194720E-2
1.514062500E4,2.120320413E-2
1.516406250E4,4.086025268E-2
1.518750000E4,4.884430754E-2
1.521093750E4,2.242787553E-2
1.523437500E4,3.110780025E-2
1.525781250E4,2.460285927E-2
1.528125000E4,1.230410508E-2
1.530468750E4,5.342221860E-2
1.532812500E4,2.115729377E-2
1.535156250E4,3.602839944E-2
1.537500000E4,2.870723187E-2
1.539843750E4,4.770770754E-2
1.542187500E4,6.045198249E-2
1.544531250E4,2.395107314E-2
1.546875000E4,3.817505577E-2
1.549218750E4,2.854621017E-2
1.551562500E4,5.053925224E-2
1.553906250E4,4.695447173E-2
1.556250000E4,9.108185425E-3
1.558593750E4,4.337820424E-2
1.560937500E4,2.984361768E-2
1.563281250E4,4.243982827E-2
1.565625000E4,5.644403496E-2
1.567968750E4,3.685366092E-3
1.570312500E4,2.601646182E-3
1.572656250E4,2.795526348E-2
1.575000000E4,3.255526744E-2
1.577343750E4,2.892101202E-2
1.579687500E4,3.191456283E-2
1.582031250E4,1.840971256E-2
1.584375000E4,2.595468461E-2
1.586718750E4,3.553974679E-2
1.589062500E4,6.952629243E-2
1.591406250E4,5.772102517E-2
1.593750000E4,4.406290126E-2
1.596093750E4,3.989078948E-2
1.598437500E4,3.878434479E-2
1.600781250E4,6.132064300E-2
1.603125000E4,3.455965364E-2
1.605468750E4,5.773953732E-2
1.607812500E4,3.530436308E-2
1.610156250E4,2.808082840E-2
1.612500000E4,4.320954666E-2
1.614843750E4,9.883856901E-3
1.617187500E4,3.226604419E-2
1.619531250E4,4.289844334E-2
1.621875000E4,2.844076297E-2
1.624218750E4,3.725523442E-2
1.626562500E4,2.002426601E-2
1.628906250E4,2.140630337E-2
1.631250000E4,3.130865175E-2
1.633593750E4,1.875692614E-2
1.635937500E4,2.390843541E-2
1.638281250E4,2.725235084E-2
1.640625000E4,6.454678938E-2
1.642968750E4,1.666607638E-2
1.645312500E4,3.277392558E-2
1.647656250E4,5.231522713E-2
1.650000000E4,4.844473063E-2
1.652343750E4,2.730882837E-2
1.654687500E4,3.133580915E-2
1.657031250E4,1.362355626E-2
1.659375000E4,1.876411914E-2
1.661718750E4,4.178957339E-2
1.664062500E4,2.850929106E-2
1.666406250E4,1.720108610E-2
1.668750000E4,5.410429826E-2
1.671093750E4,2.452109239E-2
1.673437500E4,3.078694315E-2
1.675781250E4,4.584346327E-2
1.678125000E4,2.910513459E-2
1.680468750E4,1.755254940E-2
1.682812500E4,1.829807008E-2
1.685156250E4,3.325906772E-2
1.687500000E4,2.026118936E-2
1.689843750E4,2.227895762E-2
1.692187500E4,2.958518332E-2
1.694531250E4,1.687775274E-2
1.696875000E4,2.846646678E-2
1.699218750E4,2.923268802E-2
1.701562500E4,8.224774892E-3
1.703906250E4,3.796526855E-2
1.706250000E4,1.045024418E-2
1.708593750E4,4.454156442E-2
1.710937500E4,2.225979411E-2
1.713281250E4,1.313156839E-2
1.715625000E4,1.771954793E-2
1.717968750E4,2.250960481E-2
1.720312500E4,2.293098155E-2
1.722656250E4,2.808061215E-2
1.725000000E4,5.242730847E-2
1.727343750E4,7.642225994E-3
1.729687500E4,1.881359112E-2
1.732031250E4,3.699211553E-2
1.734375000E4,2.783051251E-2
1.736718750E4,4.875899457E-2
1.739062500E4,3.757413195E-3
1.741406250E4,1.333278121E-2
1.743750000E4,3.677467370E-2
1.746093750E4,9.098190200E-3
1.748437500E4,2.665461622E-2
1.750781250E4,1.766392522E-2
1.753125000E4,3.364979727E-2
1.755468750E4,1.819952055E-2
1.757812500E4,1.163707397E-2
1.760156250E4,3.192443373E-2
1.762500000E4,1.280756255E-2
1.764843750E4,1.186086984E-2
1.767187500E4,2.452725292E-2
1.769531250E4,3.008047581E-2
1.771875000E4,1.345558873E-2
1.774218750E4,2.212810643E-2
1.776562500E4,1.922307038E-2
1.778906250E4,2.611593413E-2
1.781250000E4,2.966350336E-2
1.783593750E4,2.179952932E-2
1.785937500E4,2.067499801E-2
1.788281250E4,8.793318383E-3
1.790625000E4,2.274104182E-2
1.792968750E4,1.795399241E-2
1.795312500E4,1.961290727E-2
1.797656250E4,2.521388732E-2
1.800000000E4,3.556478692E-2
1.802343750E4,3.277905539E-2
1.804687500E4,3.813768574E-2
1.807031250E4,2.147527385E-2
1.809375000E4,1.691228034E-2
1.811718750E4,4.388895044E-3
1.814062500E4,1.761044902E-2
1.816406250E4,2.385705403E-2
1.818750000E4,2.048913640E-2
1.821093750E4,2.334642466E-2
1.823437500E4,1.500868073E-2
1.825781250E4,2.465881019E-2
1.828125000E4,2.833606207E-2
1.830468750E4,2.594317130E-2
1.832812500E4,1.983313335E-2
1.835156250E4,3.340100209E-2
1.837500000E4,2.145971606E-2
1.839843750E4,1.619593275E-2
1.842187500E4,2.083345620E-2
1.844531250E4,2.755129863E-2
1.846875000E4,2.674579394E-2
1.849218750E4,2.601692584E-2
1.851562500E4,2.917720152E-2
1.853906250E4,1.070038951E-2
1.856250000E4,1.751740535E-2
1.858593750E4,6.111416422E-3
1.860937500E4,3.162678762E-2
1.863281250E4,3.131914145E-2
1.865625000E4,1.231839061E-2
1.867968750E4,2.365192828E-2
1.870312500E4,2.724163247E-2
1.872656250E4,1.969987937E-2
1.875000000E4,1.944447394E-2
1.877343750E4,1.059096295E-2
1.879687500E4,1.450098025E-2
1.882031250E4,1.554598270E-2
1.884375000E4,2.545230173E-2
1.886718750E4,1.510229276E-2
1.889062500E4,2.488830647E-2
1.891406250E4,1.079529026E-2
1.893750000E4,6.319658200E-3
1.896093750E4,2.054421484E-2
1.898437500E4,2.736291639E-2
1.900781250E4,2.752373875E-2
1.903125000E4,2.256818690E-2
1.905468750E4,2.641614935E-2
1.907812500E4,7.140502852E-3
1.910156250E4,2.219600512E-2
1.912500000E4,1.389982234E-2
1.914843750E4,2.878814089E-2
