"Time (s)","Recording (a.u.)"
1.068750000E-2,8.628848940E-3
1.070833333E-2,5.173424259E-3
1.072916667E-2,1.032881904E-3
1.075000000E-2,-3.422865411E-3
1.077083333E-2,-6.504734978E-3
1.079166667E-2,-8.501090109E-3
1.081250000E-2,-1.017253473E-2
1.083333333E-2,-1.294069178E-2
1.085416667E-2,-1.530327182E-2
1.087500000E-2,-1.564879715E-2
1.089583333E-2,-1.692485437E-2
1.091666667E-2,-1.901006140E-2
1.093750000E-2,-2.161484770E-2
1.095833333E-2,-2.559001185E-2
1.097916667E-2,-2.860174887E-2
1.100000000E-2,-3.096668422E-2
1.102083333E-2,-3.334560618E-2
1.104166667E-2,-3.554945067E-2
1.106250000E-2,-3.798250854E-2
1.108333333E-2,-3.932359815E-2
1.110416667E-2,-4.066827148E-2
1.112500000E-2,-4.262050986E-2
1.114583333E-2,-4.333136603E-2
1.116666667E-2,-4.350858182E-2
1.118750000E-2,-4.402032495E-2
1.120833333E-2,-4.425673187E-2
1.122916667E-2,-4.385451227E-2
1.125000000E-2,-4.343688488E-2
1.127083333E-2,-4.374017566E-2
1.129166667E-2,-4.340796173E-2
1.131250000E-2,-4.165135324E-2
1.133333333E-2,-4.019666463E-2
1.135416667E-2,-3.894646466E-2
1.137500000E-2,-3.720106557E-2
1.139583333E-2,-3.687472641E-2
1.141666667E-2,-3.783944249E-2
1.143750000E-2,-3.838197887E-2
1.145833333E-2,-3.853492811E-2
1.147916667E-2,-3.850328922E-2
1.150000000E-2,-3.910784051E-2
1.152083333E-2,-3.997504711E-2
1.154166667E-2,-3.961798921E-2
1.156250000E-2,-3.903115168E-2
1.158333333E-2,-3.866060823E-2
1.160416667E-2,-3.703125566E-2
1.162500000E-2,-3.446897119E-2
1.164583333E-2,-3.272547573E-2
1.166666667E-2,-3.227680922E-2
1.168750000E-2,-3.249777853E-2
1.170833333E-2,-3.229591623E-2
1.172916667E-2,-3.050810285E-2
1.175000000E-2,-2.766611241E-2
1.177083333E-2,-2.564004809E-2
1.179166667E-2,-2.531300113E-2
1.181250000E-2,-2.617571689E-2
1.183333333E-2,-2.806940675E-2
1.185416667E-2,-3.058608808E-2
1.187500000E-2,-3.200835735E-2
