"Time (s)","Sound pressure level (dB)"
2.941602717E2,-2.041918594E1
2.942689946E2,-1.761917598E1
2.943772649E2,-1.712606750E1
2.944828235E2,-1.682258248E1
2.945939237E2,-1.820765860E1
2.946988896E2,-1.744034865E1
2.948016594E2,-2.126209762E1
2.949106178E2,-2.228715989E1
2.950174281E2,-2.140510436E1
2.951272182E2,-1.731054780E1
2.952355424E2,-1.868555286E1
2.953438961E2,-1.656170866E1
2.954532804E2,-1.824525527E1
2.955622303E2,-1.897601077E1
2.956688783E2,-2.086970571E1
2.957772023E2,-1.687627658E1
2.958861388E2,-2.239596520E1
2.959938484E2,-2.298938118E1
2.961033351E2,-2.111467788E1
2.962105815E2,-1.934036786E1
2.963201375E2,-2.362223970E1
2.964271755E2,-1.935502677E1
2.965365367E2,-1.996983446E1
2.966438440E2,-1.942208865E1
2.967517677E2,-2.391839087E1
2.968604679E2,-1.912386202E1
2.969688904E2,-2.216399552E1
2.970773085E2,-2.237478402E1
2.971856195E2,-2.432325980E1
2.972938237E2,-2.542386527E1
2.974049815E2,-2.487630705E1
2.975105413E2,-2.273759739E1
2.976198661E2,-1.997433076E1
2.977272476E2,-2.025308488E1
2.978314148E2,-2.276307731E1
2.979399039E2,-2.345709350E1
2.980439443E2,-2.304679179E1
2.981512083E2,-2.409387358E1
2.982605588E2,-1.811653909E1
2.983645416E2,-2.250827013E1
2.984745118E2,-2.184901179E1
2.985772041E2,-2.248841419E1
2.986855290E2,-1.579376400E1
2.987938990E2,-1.807563794E1
2.989035083E2,-2.179717071E1
2.990141499E2,-2.253587603E1
2.991253481E2,-2.316331334E1
2.992272071E2,-2.309294390E1
2.993366238E2,-1.724501904E1
2.994438824E2,-2.076278911E1
2.995522316E2,-1.974428950E1
2.996605261E2,-1.936396275E1
2.997688726E2,-2.176712551E1
2.998772154E2,-2.421928300E1
2.999855455E2,-2.191695000E1
3.000938831E2,-2.202380422E1
3.002022541E2,-1.921049603E1
3.003105366E2,-2.092919374E1
3.004189189E2,-1.866435082E1
3.005292103E2,-1.971592852E1
3.006313074E2,-1.986431245E1
3.007334095E2,-2.062997733E1
3.008438032E2,-1.934477546E1
3.009522163E2,-1.929487425E1
3.010606682E2,-1.757269801E1
3.011688869E2,-1.539142507E1
3.012772408E2,-2.114377063E1
3.013832176E2,-2.255245749E1
3.014938926E2,-2.151661348E1
3.016043614E2,-2.012139973E1
3.017105969E2,-1.836606690E1
3.018217277E2,-2.125441655E1
3.019291343E2,-2.078626825E1
3.020321378E2,-1.971786029E1
3.021431344E2,-1.827098473E1
3.022522220E2,-1.970489800E1
3.023604943E2,-2.255634795E1
3.024681389E2,-2.382743722E1
3.025772061E2,-2.354155849E1
3.026845402E2,-1.997015182E1
3.027938967E2,-2.107537065E1
3.029022425E2,-2.198418320E1
3.030105678E2,-2.159014703E1
3.031181876E2,-2.231930667E1
3.032271776E2,-2.400129086E1
3.033360205E2,-2.337799938E1
