"Time (s)","Sound pressure level (dB)"
7.862674727E2,-1.490957733E1
7.863760713E2,-1.625019976E1
7.864858452E2,-1.606731776E1
7.865927520E2,-1.358200474E1
7.867010468E2,-1.586390307E1
7.868094263E2,-1.484902486E1
7.869186663E2,-1.573659213E1
7.870260618E2,-1.372870417E1
7.871353154E2,-1.471935992E1
7.872427278E2,-1.462115723E1
7.873533285E2,-1.588848567E1
7.874594146E2,-1.573682968E1
7.875686390E2,-1.440653551E1
7.876760267E2,-1.454845245E1
7.877853259E2,-1.831218444E1
7.878927536E2,-1.724775955E1
7.880020073E2,-1.770959433E1
7.881123298E2,-1.789539814E1
7.882168132E2,-1.788062289E1
7.883260766E2,-1.648465995E1
7.884318986E2,-1.781698567E1
7.885427417E2,-1.745501274E1
7.886508398E2,-1.712858488E1
7.887594412E2,-1.708380224E1
7.888652747E2,-2.037784821E1
7.889760984E2,-1.824723307E1
7.890838568E2,-2.030895893E1
7.891937716E2,-1.803475659E1
7.892985332E2,-1.919517447E1
7.894093782E2,-1.908770333E1
7.895183852E2,-1.756136222E1
7.896260176E2,-1.916080682E1
7.897318708E2,-1.421953405E1
7.898407527E2,-1.789873636E1
7.899485984E2,-1.721969974E1
7.900594367E2,-1.859945235E1
7.901652719E2,-1.780321547E1
7.902761079E2,-1.654883313E1
7.903839136E2,-1.829860311E1
7.904927690E2,-1.924855238E1
7.905986465E2,-1.684417831E1
7.907094707E2,-1.578818836E1
7.908174780E2,-1.569611145E1
7.909261138E2,-1.558896258E1
7.910318236E2,-1.607884763E1
7.911407137E2,-1.271203214E1
7.912515617E2,-1.446503921E1
7.913594257E2,-1.613745667E1
7.914652603E2,-1.530172469E1
7.915761393E2,-1.676265447E1
7.916873491E2,-1.586993109E1
7.917980275E2,-1.551632603E1
7.919074189E2,-1.391129846E1
7.920157799E2,-1.558304374E1
7.921260700E2,-1.565083425E1
7.922319315E2,-1.768900700E1
7.923427388E2,-1.310024096E1
7.924511055E2,-1.164283237E1
7.925616253E2,-1.715955274E1
7.926652628E2,-1.567721579E1
7.927740182E2,-1.488126079E1
7.928836537E2,-1.416837282E1
7.929907559E2,-1.556513580E1
7.930986247E2,-1.119817813E1
7.932094507E2,-1.055010394E1
