"Time (s)","Sound pressure level (dB)"
2.998577513E2,-1.632421462E1
2.999685447E2,-1.491946149E1
3.000744295E2,-1.528907486E1
3.001827592E2,-1.527707739E1
3.002911191E2,-1.330404132E1
3.003994150E2,-1.371926555E1
3.005077353E2,-1.616437548E1
3.006189532E2,-1.566611370E1
3.007244823E2,-1.519335430E1
3.008312166E2,-1.659226159E1
3.009410341E2,-1.600501626E1
3.010493723E2,-1.618568961E1
3.011577602E2,-1.671185020E1
3.012653865E2,-1.593070370E1
3.013744300E2,-1.687862932E1
3.014827466E2,-1.685017136E1
3.015910599E2,-1.696110947E1
3.017022200E2,-1.674594832E1
3.018077655E2,-1.813971683E1
3.019180954E2,-1.721688501E1
3.020243560E2,-1.708060001E1
3.021355049E2,-1.899396131E1
3.022410863E2,-1.632602319E1
3.023509347E2,-1.669913398E1
3.024577160E2,-1.728983166E1
3.025660461E2,-1.725466330E1
3.026743530E2,-1.728919417E1
3.027827258E2,-1.717879706E1
3.028937493E2,-1.803864444E1
3.029959318E2,-1.709044735E1
3.030980047E2,-1.662313825E1
3.032076465E2,-1.715660776E1
3.033161166E2,-1.731906843E1
3.034243277E2,-1.625571878E1
3.035327440E2,-1.616218514E1
3.036411030E2,-1.628281298E1
3.037523413E2,-1.612175062E1
3.038577672E2,-1.646790040E1
3.039660469E2,-1.676192450E1
3.040744348E2,-1.646375829E1
3.041855367E2,-1.595865886E1
3.042910699E2,-1.589704232E1
3.043994050E2,-1.704456705E1
3.045077453E2,-1.696212207E1
3.046188876E2,-1.556960356E1
3.047244618E2,-1.634800875E1
3.048348622E2,-1.641943804E1
3.049410395E2,-1.665293601E1
3.050517052E2,-1.699006717E1
3.051577308E2,-1.578891906E1
3.052688930E2,-1.609607193E1
3.053744433E2,-1.741550171E1
3.054841287E2,-1.723253864E1
3.055910574E2,-1.642711328E1
3.056974158E2,-1.718636565E1
3.058077607E2,-1.676766002E1
3.059160943E2,-1.657343034E1
3.060244343E2,-1.621769970E1
3.061351335E2,-1.680396706E1
3.062423482E2,-1.568558796E1
3.063518638E2,-1.521903735E1
3.064576955E2,-1.574768515E1
3.065685597E2,-1.647311246E1
3.066743783E2,-1.518373489E1
3.067852314E2,-1.639379288E1
3.068937725E2,-1.642185470E1
3.070018838E2,-1.646705745E1
3.071077550E2,-1.677736832E1
3.072185849E2,-1.699942983E1
3.073282109E2,-1.656861093E1
3.074352160E2,-1.611207303E1
3.075410503E2,-1.710155570E1
3.076518760E2,-1.645291575E1
3.077577157E2,-1.795293720E1
3.078685546E2,-1.773698737E1
3.079743969E2,-1.673980043E1
3.080852141E2,-1.627879119E1
3.081910759E2,-1.796998472E1
3.083018660E2,-1.791945570E1
3.084127879E2,-1.749459131E1
3.085225070E2,-1.823532872E1
3.086326744E2,-1.690805889E1
3.087410600E2,-1.763395290E1
3.088519190E2,-1.732580746E1
3.089577205E2,-1.657152126E1
3.090685471E2,-1.750831600E1
3.091743970E2,-1.739074908E1
3.092852654E2,-1.689792306E1
3.093910438E2,-1.635966632E1
3.095019295E2,-1.680187180E1
