"Time (s)","Recording (a.u.)"
1.000000000E-2,3.458543867E-2
1.002083333E-2,3.214301541E-2
1.004166667E-2,2.975740656E-2
1.006250000E-2,2.814963087E-2
1.008333333E-2,2.707089670E-2
1.010416667E-2,2.682127990E-2
1.012500000E-2,2.837662026E-2
1.014583333E-2,3.214928880E-2
1.016666667E-2,3.736874461E-2
1.018750000E-2,4.305811971E-2
1.020833333E-2,4.830715433E-2
1.022916667E-2,5.181542784E-2
1.025000000E-2,5.312725902E-2
1.027083333E-2,5.337849632E-2
1.029166667E-2,5.359528586E-2
1.031250000E-2,5.357143655E-2
1.033333333E-2,5.320031568E-2
1.035416667E-2,5.293167382E-2
1.037500000E-2,5.246318877E-2
1.039583333E-2,5.135301501E-2
1.041666667E-2,5.054165423E-2
1.043750000E-2,5.134797841E-2
1.045833333E-2,5.423931777E-2
1.047916667E-2,5.922137946E-2
1.050000000E-2,6.534025073E-2
1.052083333E-2,7.116863877E-2
1.054166667E-2,7.669689506E-2
1.056250000E-2,8.219778538E-2
1.058333333E-2,8.719746023E-2
1.060416667E-2,9.149875492E-2
1.062500000E-2,9.516840428E-2
1.064583333E-2,9.817777574E-2
1.066666667E-2,9.993753582E-2
1.068750000E-2,1.001438648E-1
1.070833333E-2,9.971378744E-2
1.072916667E-2,9.895206988E-2
1.075000000E-2,9.725412726E-2
1.077083333E-2,9.493587911E-2
1.079166667E-2,9.313417971E-2
1.081250000E-2,9.221526980E-2
1.083333333E-2,9.199297428E-2
1.085416667E-2,9.324334562E-2
1.087500000E-2,9.655724466E-2
1.089583333E-2,1.008505821E-1
1.091666667E-2,1.042540669E-1
1.093750000E-2,1.056347415E-1
1.095833333E-2,1.053498462E-1
1.097916667E-2,1.040176675E-1
1.100000000E-2,1.018832475E-1
1.102083333E-2,9.975093603E-2
1.104166667E-2,9.897747636E-2
1.106250000E-2,1.005631462E-1
1.108333333E-2,1.041281372E-1
1.110416667E-2,1.083994657E-1
1.112500000E-2,1.121060550E-1
