"t (s)","Inclination (deg)","Rotation (deg)"
1.429275507E2,1.078126292E0,5.449469270E1
1.434275853E2,5.870603390E-1,2.384233623E1
1.439276193E2,1.535506357E0,7.431387947E1
1.444276523E2,8.157202748E-1,3.315233909E1
1.449276853E2,1.149497243E0,8.195758241E1
1.454277167E2,1.268461535E0,7.038360319E1
1.459277487E2,1.287604140E0,8.119101672E1
1.469278116E2,2.119720810E-1,1.630823133E1
1.474278427E2,7.725735009E-1,6.770153845E1
1.479278727E2,3.065347748E-1,4.047689333E1
1.484279033E2,9.906231292E-1,9.796961039E1
1.489279333E2,2.403641440E0,1.658145759E2
1.494279630E2,2.409749527E0,-1.779006548E2
1.499279920E2,1.724513520E0,-1.615086207E2
1.504280211E2,2.027039985E0,1.514645916E2
1.509280501E2,2.078629416E0,1.728183378E2
1.514280779E2,1.600428121E0,1.538418922E2
1.519281059E2,1.429732851E0,1.699920202E2
1.524281337E2,8.712460145E-1,1.783989820E2
1.529281607E2,3.763058746E-2,-1.292894069E2
1.534281891E2,2.285477574E-1,8.426750480E1
1.539282161E2,1.146680598E0,-1.629636240E2
1.544282433E2,1.975271167E0,-1.781491204E2
1.549282693E2,2.129059223E0,1.724210601E2
1.554282956E2,1.918983775E0,1.630768092E2
1.559283216E2,3.564471987E0,1.696650098E2
1.564283481E2,3.500955038E0,1.729690267E2
1.569283741E2,4.041713439E0,1.787643253E2
1.574283992E2,3.743092113E0,1.738639238E2
1.579284252E2,3.596803488E0,1.715776973E2
1.584284505E2,3.752409576E0,-1.753866299E2
1.594285016E2,3.129543316E0,-1.773087267E2
1.599285266E2,3.081456301E0,1.705994334E2
1.604285500E2,2.885529030E0,1.700927944E2
1.609285750E2,3.262183752E0,1.742225289E2
1.614285998E2,3.602956452E0,1.744855717E2
1.619286238E2,2.086870572E0,1.784418203E2
1.624286483E2,2.580138949E0,1.736749618E2
1.629286713E2,2.702354278E0,1.706454981E2
1.634286942E2,2.537092430E0,1.665889881E2
1.639287182E2,2.683257434E0,1.694045703E2
1.644287398E2,2.542745826E0,1.671577493E2
1.649287628E2,2.693209136E0,1.764823813E2
1.654287863E2,2.476694962E0,1.708604486E2
1.659288083E2,2.373322408E0,1.784277361E2
1.664288305E2,2.497237819E0,1.709526862E2
1.669288525E2,2.373149978E0,1.761182497E2
1.674288733E2,2.912094239E0,1.741426587E2
1.679288953E2,3.537409756E0,1.786821000E2
1.684289160E2,3.252988720E0,1.693861072E2
1.689289380E2,2.867834754E0,1.794940516E2
1.694289595E2,3.778637893E0,1.771463297E2
1.699289805E2,5.122246317E0,1.728109197E2
1.709290206E2,5.311755212E0,1.755852564E2
1.714290411E2,4.657683725E0,1.772401202E2
1.719290611E2,4.625958983E0,1.735573376E2
1.724290806E2,6.265460870E0,1.752626460E2
1.729291006E2,6.028714428E0,1.766919811E2
1.734291216E2,6.134380466E0,1.763178886E2
1.739291416E2,6.157521269E0,1.741544098E2
1.744291600E2,6.194139417E0,1.766692970E2
1.749291790E2,7.146923481E0,1.757200091E2
1.754291982E2,7.609236699E0,1.765605292E2
1.759292172E2,5.902780999E0,1.763042310E2
1.764292357E2,4.372182196E0,1.739008119E2
1.769292547E2,3.779681486E-1,1.413821820E2
1.774292719E2,6.563010757E-1,-6.561344191E0
1.779292909E2,3.729770028E-1,3.271074787E1
1.784293116E2,2.446361477E-1,-1.030388537E0
1.789293326E2,2.459843720E-1,2.115510097E1
1.794295838E2,3.133825198E-1,2.742874122E1
1.799299468E2,1.725537292E-1,-1.630700542E1
1.804303456E2,3.083203263E-1,3.696834390E1
1.809307376E2,1.745667222E-1,-4.332313983E0
1.814311033E2,2.551728548E-1,4.682052433E1
1.819314723E2,2.299825200E-1,-9.029637321E0
