"t (s)","Inclination (deg)","Rotation (deg)"
2.169730987E2,8.812998110E0,9.999024769E1
2.174730447E2,8.259587264E0,9.911220965E1
2.179729909E2,8.137128554E0,1.009284781E2
2.184729379E2,8.390809489E0,1.021032153E2
2.189728852E2,8.417996294E0,9.799048426E1
2.199727798E2,7.144364232E0,1.025280396E2
2.204727277E2,8.245380206E0,9.970959846E1
2.209726763E2,8.614004615E0,1.005296948E2
2.214726242E2,1.136044157E1,9.697015265E1
2.219725724E2,1.264771762E1,9.455701053E1
2.224725204E2,1.249146826E1,8.991018197E1
2.229724700E2,1.219400671E1,8.915888392E1
2.234724190E2,1.218390863E1,8.811443469E1
2.239723685E2,1.082133043E1,9.093067336E1
2.244723175E2,1.071349227E1,8.958396402E1
2.249722664E2,1.081505844E1,9.036437101E1
2.254722164E2,1.103760346E1,8.874595060E1
2.259721667E2,1.115273957E1,8.921423680E1
2.264721157E2,1.136424671E1,9.059885763E1
2.269720645E2,1.126265439E1,8.918018591E1
2.274720135E2,1.132844252E1,9.054826823E1
2.279719629E2,1.120867067E1,8.991825922E1
2.284724569E2,1.110658118E1,9.033815907E1
2.289730733E2,1.025761770E1,9.254734893E1
2.294724712E2,1.130125855E1,8.904643293E1
2.299718697E2,1.159551233E1,8.835551262E1
2.304721717E2,1.174718135E1,8.852499098E1
2.309721180E2,1.168090599E1,8.773909571E1
2.314720650E2,1.010750788E1,9.281787929E1
2.319720121E2,1.133394258E1,9.026502758E1
2.324719591E2,1.205308498E1,8.751985213E1
2.329719048E2,1.127384859E1,9.055186080E1
2.334718517E2,1.052873728E1,8.866406680E1
2.339717985E2,1.118488643E1,8.797170786E1
2.344717445E2,1.106138238E1,9.057928279E1
2.354716359E2,1.123721660E1,8.955157195E1
2.359715832E2,1.094770807E1,8.926296744E1
2.364715292E2,1.096620379E1,8.929676245E1
2.369714745E2,1.061932419E1,9.017796650E1
2.374717785E2,1.029191799E1,9.094405172E1
2.379711827E2,1.066089434E1,9.055856960E1
2.384714217E2,1.072518167E1,9.159743855E1
2.389713669E2,1.160215556E1,1.169557069E2
2.394713129E2,1.167325438E1,1.127530469E2
2.399712575E2,1.145928628E1,1.117724099E2
2.404712035E2,1.188325125E1,1.117167635E2
2.409711479E2,1.179614006E1,1.126165383E2
2.414710939E2,1.156631719E1,1.126846914E2
2.419710395E2,1.213063741E1,1.133259906E2
2.424709855E2,1.191948722E1,1.124366758E2
2.429709306E2,1.210039978E1,1.109556929E2
2.434708756E2,1.208989392E1,1.115157719E2
2.439708212E2,1.198337056E1,1.133879406E2
2.444707662E2,1.182020206E1,1.104296540E2
2.449707110E2,1.161558627E1,1.123611001E2
2.454706560E2,1.169672811E1,1.145134902E2
2.459706026E2,1.174344108E1,1.136412882E2
2.464705476E2,1.234870173E1,1.103985841E2
2.469704924E2,1.230339759E1,1.100698851E2
2.474704374E2,1.200545834E1,1.102840108E2
2.479703830E2,1.229406898E1,1.116393328E2
2.484703280E2,1.254073816E1,1.094409503E2
2.489702728E2,1.193294922E1,1.099100963E2
2.494702178E2,1.167024913E1,1.155453959E2
2.499701631E2,1.099547691E1,1.131974077E2
2.504701081E2,1.167805193E1,1.147426013E2
2.514699979E2,1.251414996E1,1.098955410E2
2.519699423E2,1.191063246E1,1.094841453E2
2.524698873E2,1.226553097E1,1.082097338E2
2.529698329E2,1.256969531E1,1.078161453E2
2.534697779E2,1.179143539E1,1.090142513E2
2.539697223E2,1.205259568E1,1.136617512E2
2.544696672E2,1.160447939E1,1.092066844E2
2.549696119E2,1.163035052E1,1.113560749E2
2.554695559E2,1.209888657E1,1.105728137E2
2.559695010E2,1.247241391E1,1.110637558E2
2.564694460E2,1.232276948E1,1.092018585E2
2.569693924E2,1.160884376E1,1.083727084E2
2.574693374E2,1.159192244E1,1.114336395E2
2.579692814E2,1.214853496E1,1.098560872E2
2.584692264E2,1.235384295E1,1.067483799E2
2.589691715E2,1.271401023E1,1.053502124E2
2.594691155E2,1.339253208E1,1.046125970E2
2.599690609E2,1.223032995E1,1.067678605E2
2.604690059E2,1.224189721E1,1.100539036E2
2.609689504E2,1.289696528E1,1.046477682E2
2.614688954E2,1.368553397E1,1.060521415E2
2.619688394E2,1.345550998E1,1.052156316E2
2.624687844E2,1.131998106E1,9.615157926E1
2.629687295E2,1.425350357E1,9.026020980E1
2.634686745E2,1.486127538E1,9.458180765E1
2.639686197E2,1.377725580E1,9.179923714E1
2.644685647E2,1.712525865E1,8.440642813E1
2.649685095E2,1.488059218E1,8.849633109E1
2.654684545E2,1.596877165E1,8.345573645E1
2.659684003E2,1.745606436E1,8.503994977E1
2.669682920E2,1.645942360E1,9.031559401E1
2.674682370E2,1.548477323E1,9.158292244E1
2.679681813E2,9.646626229E0,9.775224760E1
2.684681273E2,1.215240591E1,1.009745651E2
2.689680715E2,1.873027606E1,9.527234984E1
2.694680175E2,4.714935262E0,9.076799394E1
2.699679625E2,8.105444961E0,1.108468992E2
2.704679085E2,6.597206030E0,9.204102761E1
2.709678544E2,7.706873129E0,8.676627827E1
2.714678004E2,6.818499698E0,9.543826169E1
2.719677464E2,5.666875389E0,8.928711088E1
2.724676924E2,4.114458670E0,9.104745078E1
2.729676378E2,5.997175168E0,9.539423567E1
2.734675838E2,7.840783001E0,9.001314877E1
2.739675302E2,7.474920738E0,8.255170628E1
2.744674772E2,8.538750291E0,8.399345057E1
2.749674223E2,6.056794938E0,8.292978343E1
2.754673693E2,7.278614688E0,9.054763808E1
2.759673173E2,6.195053329E0,8.409557941E1
2.764672643E2,7.904492903E0,9.779834603E1
2.769672100E2,4.561026736E0,6.806151953E1
2.774671570E2,7.586254367E0,6.343192737E1
2.779671051E2,8.610575785E0,6.050308009E1
2.784670521E2,8.382023682E0,6.870482209E1
2.789669991E2,6.788388007E0,7.742324060E1
2.794669461E2,6.050283552E0,8.861729496E1
2.799668926E2,8.645805473E0,8.345128387E1
2.804668396E2,8.900581586E0,8.960343608E1
2.809667865E2,9.151021255E0,7.893753872E1
2.819666808E2,8.014361449E0,6.633893053E1
2.824666278E2,8.160637284E0,7.160910020E1
2.829665752E2,8.952333242E0,6.425443921E1
2.834665232E2,7.882270483E0,6.283308278E1
2.839664699E2,7.733703636E0,5.884121874E1
2.844664179E2,7.454855668E0,6.635820328E1
2.849663644E2,8.474797228E0,7.262816538E1
2.854663124E2,7.654832583E0,8.691305894E1
2.859662602E2,7.355625956E0,8.331228884E1
2.864662082E2,6.396992726E0,7.953551001E1
2.869661546E2,6.465214224E0,8.214588992E1
2.874661026E2,7.585454407E0,6.162048657E1
2.879660507E2,7.572773704E0,6.114037856E1
2.884659977E2,8.722067898E0,6.309836727E1
2.889659453E2,7.018704130E0,6.759255523E1
2.894658923E2,6.310480849E0,5.826859732E1
2.899658405E2,6.265135941E0,5.941086229E1
2.904657885E2,6.349352392E0,6.358858518E1
2.909657353E2,6.073653032E0,6.514904253E1
2.914656832E2,6.990144529E0,6.091571556E1
2.919656314E2,6.832681279E0,6.095041725E1
2.924655794E2,7.092134158E0,6.307564263E1
2.929655254E2,7.399549150E0,6.349949183E1
2.934654734E2,7.299100303E0,5.716808854E1
2.939654205E2,7.627711070E0,5.778322281E1
2.944653675E2,7.420083011E0,5.660980889E1
2.949653161E2,7.189332607E0,5.612487552E1
2.954652631E2,7.525662168E0,5.505327028E1
2.959655003E2,6.735290436E0,6.751242961E1
2.964659393E2,7.300740475E0,7.196220477E1
2.974658331E2,6.830170682E0,7.426497157E1
