"t (s)","Inclination (deg)","Rotation (deg)"
1.607811711E2,2.998371854E0,-1.673216917E2
1.612811568E2,3.183508036E0,-1.641364109E2
1.617811448E2,3.108966893E0,-1.707378625E2
1.622811338E2,3.005070947E0,-1.621868747E2
1.627811218E2,2.917722843E0,-1.625884701E2
1.632811090E2,2.830347264E0,-1.674148524E2
1.637810960E2,2.848430358E0,-1.677653494E2
1.647810724E2,2.960217402E0,-1.662637317E2
1.653010604E2,2.558361846E0,-1.779876795E2
1.658010484E2,2.966061078E0,-1.640218503E2
1.663010365E2,2.899134288E0,-1.660272257E2
1.668010255E2,2.746493014E0,-1.672652012E2
1.673010132E2,2.885454979E0,-1.702831968E2
1.678010022E2,2.697070708E0,-1.674545268E2
1.683009922E2,2.353670815E0,-1.650489211E2
1.688009803E2,1.667144107E0,-1.605174293E2
1.693009695E2,1.629552693E0,-1.618835790E2
1.698009585E2,1.646665582E0,-1.639570903E2
1.703009471E2,1.846070060E0,-1.623475708E2
1.708009361E2,1.902658927E0,-1.625579315E2
1.713009268E2,2.955096353E0,-1.696102938E2
1.718009167E2,3.594481954E0,-1.710725766E2
1.723009050E2,3.458773297E0,-1.699599208E2
1.728008950E2,2.627565829E0,-1.660571557E2
1.733008862E2,2.098863403E0,-1.660630559E2
1.738008762E2,3.415443495E0,-1.716302205E2
1.743008653E2,4.073878440E0,-1.727470295E2
1.748008553E2,3.945090685E0,-1.714139823E2
1.753008459E2,3.902859937E0,-1.727123949E2
1.758008359E2,4.000129718E0,-1.728032607E2
1.763008266E2,4.223349333E0,-1.719626228E2
1.768008156E2,4.710683325E0,-1.743958590E2
1.773008046E2,4.667520992E0,-1.735430047E2
1.778007946E2,5.097970979E0,-1.736466801E2
1.783007842E2,5.137055410E0,-1.714711841E2
1.788007742E2,4.900941462E0,-1.738732956E2
1.793007617E2,3.040156677E0,-1.709025274E2
1.798007508E2,2.648911957E0,-1.662093017E2
1.808007306E2,4.849238067E-1,-5.552906914E1
1.813007200E2,6.469989097E-1,-5.906304224E1
1.818007080E2,6.417006857E-1,-5.650674926E1
1.823006961E2,6.223366336E-1,-6.176520250E1
